nodeID,nodetype,lat,lon
11739507543,cafe,40.7343569,-73.8159887
11739507544,clothes,40.7372835,-73.8172712
11739507546,restaurant,40.7371425,-73.8175855
11739507547,cafe,40.7371445,-73.8174058
11739507548,restaurant,40.7374717,-73.8177786
11740100274,bus,40.6965257,-73.9869743
11740528468,convenience,40.8076279,-73.9237151
11742771628,convenience,40.7801996,-73.9802446
11742822675,furniture,40.7771683,-73.9817975
11743274414,pharmacy,40.8040946,-73.9550567
11743343361,restaurant,40.7975347,-73.9340623
11743343365,convenience,40.7977245,-73.9339229
11743347550,clothes,40.8034811,-73.9536097
11745555665,bus,40.6959642,-73.9865657
11746463841,restaurant,40.7306052,-73.9541599
11746463843,restaurant,40.7521719,-73.9872338
11746463844,restaurant,40.7270969,-74.0020062
11746576608,restaurant,40.7835338,-73.9778072
11746620409,restaurant,40.7479291,-73.9475944
11747011682,post office,40.7126326,-74.0100064
11747267935,cafe,40.7292851,-73.953737
11747267936,clothes,40.7291997,-73.9537035
11747283973,convenience,40.7289342,-73.9572946
11748179931,restaurant,40.7569747,-73.914407
11748179932,restaurant,40.7230805,-73.9825225
11748179934,restaurant,40.7299323,-73.8877785
11748179935,restaurant,40.7360524,-73.9874848
11748255275,pharmacy,40.7661332,-73.9133683
11748255277,cafe,40.7643272,-73.9148728
11748451719,bank,40.8500326,-73.9350437
11748507792,cafe,40.850251,-73.9344288
11748608699,convenience,40.8414449,-73.9402522
11748632677,restaurant,40.8432635,-73.93898
11748653913,pharmacy,40.8439436,-73.9374183
11748659948,restaurant,40.8441492,-73.9391985
11748675128,restaurant,40.8418274,-73.9389587
11748764502,convenience,40.8248282,-73.9370949
11748913964,restaurant,40.8227041,-73.9386287
11748941382,restaurant,40.8219514,-73.9385123
11748941892,butcher,40.8220107,-73.9384776
11748980858,bank,40.8230758,-73.9419972
11748989360,hotel,40.7522281,-73.9892637
11749021327,pharmacy,40.8231891,-73.9432157
11749266902,atm,40.9591913,-74.2370139
11749409223,restaurant,40.7414883,-73.9188961
11750775764,convenience,40.7433765,-73.9817561
11751853080,restaurant,40.7048196,-73.9058328
11752921608,convenience,40.7503192,-73.9403956
11753614450,supermarket,40.656873,-74.0073736
11753614456,furniture,40.657144,-74.0058409
11753839084,restaurant,40.7401273,-73.9234148
11754487748,cafe,40.7054382,-74.0091433
11754487749,restaurant,40.7419249,-73.9928293
11755572878,restaurant,40.8253063,-74.1088696
11756377090,deli,40.5963794,-73.7543829
11756377092,bank,40.5963316,-73.7543735
11756377093,restaurant,40.5964658,-73.7547372
11756377097,supermarket,40.5965977,-73.7548164
11756377100,pharmacy,40.5971848,-73.7551001
11756377102,restaurant,40.5967498,-73.7550501
11756646533,restaurant,40.6937166,-73.8273913
11756860356,restaurant,40.7688221,-73.9541113
11756860357,restaurant,40.768793,-73.9540347
11757144939,pharmacy,40.7989449,-73.9411912
11757189685,restaurant,40.7255851,-73.7400012
11757189686,restaurant,40.7256199,-73.740038
11757189690,restaurant,40.725851,-73.7401923
11757189696,convenience,40.7260085,-73.7404031
11757189697,chemist,40.7260567,-73.7404565
11757189700,bus,40.7254548,-73.7401998
11757189701,bus,40.7259862,-73.7404738
11757189734,pharmacy,40.7293526,-73.7438902
11759521534,fire,40.7665569,-73.9448653
11760026521,bus,40.738935,-73.7014209
11760026562,supermarket,40.7370326,-73.7079693
11760214894,restaurant,40.7351943,-73.7175287
11760278666,convenience,40.7518104,-73.6720071
11760307075,chemist,40.7542838,-73.6530154
11760317383,clothes,40.7543433,-73.6525181
11760317385,clothes,40.7543654,-73.6523748
11760317393,convenience,40.7541243,-73.6512409
11760317434,chemist,40.7517084,-73.6728246
11760317439,restaurant,40.7517689,-73.6723945
11760317444,restaurant,40.7518285,-73.6718527
11760317465,restaurant,40.7516573,-73.6743217
11760317468,post office,40.7514522,-73.6753957
11760994850,restaurant,40.7032995,-74.0107985
11761107808,restaurant,40.7485883,-73.9377506
11761653832,restaurant,40.7187004,-73.9903564
11761680200,convenience,40.7237555,-73.9878772
11761689742,cafe,40.7233551,-73.9881657
11761723978,restaurant,40.7686535,-73.955143
11761797643,convenience,40.5762914,-73.9663358
11761800669,bank,40.7477537,-73.985317
11761845566,convenience,40.7286293,-73.9843349
11761868947,restaurant,40.7493418,-73.9841442
11762007633,bank,40.753728,-73.9851574
11762033170,cafe,40.7538905,-73.9850776
11762070422,childcare,40.6820329,-73.9606081
11762226120,restaurant,40.6783321,-73.9640358
11762405312,grocery,40.6802747,-73.9689673
11762779327,deli,40.7719834,-73.9899289
11764456732,convenience,40.6545055,-74.0045271
11764597552,bus,40.5680293,-74.1124113
